Number,FirstName,LastName,Status,Height,IsUndraftedFreeAgent,InjuryStatus
,James,Ferentz,Inactive,6'2",True,
,Jonotthan,Harrison,Inactive,6'4",True,
,Allen,Robinson II,Inactive,6'2",False,
,Josh,Wells,Inactive,6'6",True,
,Shaquil,Barrett,Inactive,6'2",True,
,Bradley,Roby,Inactive,5'11",False,
,Michael,Schofield,Inactive,6'6",False,
,Laurent,Duvernay-Tardif,Inactive,6'5",False,
,K'Waun,Williams,Inactive,5'9",True,
,Daniel,Sorensen,Inactive,6'1",True,
,Albert,Wilson,Inactive,5'9",True,
,Derek,Carr,Inactive,6'3",False,
,T.J.,Carrie,Inactive,6'0",False,
,Justin,Ellis,Inactive,6'2",False,
,Gabe,Jackson,Inactive,6'3",False,
,Jeremiah,Attaochu,Inactive,6'3",False,
,Jason,Verrett,Inactive,5'10",False,
,Zack,Martin,Inactive,6'4",False,
,Terrance,Mitchell,Inactive,5'11",False,
,Keith,Smith,Inactive,6'0",True,
,Kyle,Fuller,Inactive,5'11",False,
,Christian,Jones,Inactive,6'3",True,
,Charles,Leno Jr.,Inactive,6'3",False,
,Pat,O'Donnell,Inactive,6'4",False,
,Devon,Kennard,Inactive,6'3",False,
,Richard,Rodgers,Inactive,6'4",False,
,Joe,Thomas,Inactive,6'1",True,
,Anthony,Barr,Inactive,6'5",False,
,Jerick,McKinnon,Inactive,5'9",False,
,Andrew,Norwell,Inactive,6'6",True,
,Trai,Turner,Inactive,6'3",False,
,Cameron,Brate,Inactive,6'5",True,
,Andrew,Miller,Inactive,6'3",True,
,Aaron,Donald,Inactive,6'1",False,
,Garrett,Gilbert,Inactive,6'4",False,
,Lamarcus,Joyner,Inactive,5'8",False,
,John,Brown,Inactive,5'11",False,
,Justin,Britt,Inactive,6'6",False,
,Kevin,Pierre-Louis,Inactive,6'0",False,
,Adrian,Phillips,Inactive,5'11",True,
,Dontae,Johnson,Inactive,6'2",False,
,Brandon,Scherff,Inactive,6'5",False,
,Kevin,White,Inactive,6'3",False,
,Danny,Shelton,Inactive,6'2",False,
