Number,FantasyPosition,PlayerSeasonID,AuctionValue,AuctionValuePPR
6,K,991307064,,
6,K,991337273,,
16,WR,991307065,,
21,DB,991307066,,
21,DB,991337274,,
3,DB,991307067,,
3,DB,991337275,,
75,OL,991307068,,
36,DB,991316728,,
93,DL,991307069,,
34,WR,991307070,,
34,WR,991337276,,
28,DB,991307071,,
28,DB,991337277,,
42,LB,991337278,,
42,LB,991307072,,
4,WR,991307073,,
4,WR,991337279,,
63,OL,991307074,,
63,OL,991337280,,
76,OL,991307075,,
87,WR,991337281,,
87,WR,991307076,,
12,QB,991307077,,
55,LB,991337282,,
55,LB,991307078,,
92,LB,991307079,,
29,DB,991307080,,
29,DB,991337283,,
72,OL,991316729,,
1,WR,991307081,,
1,WR,991337284,,
38,DB,991307082,,
30,DB,991316730,,
36,DB,991307083,,
24,DB,991307084,,
24,DB,991337285,,
89,TE,991337286,,
89,TE,991307085,,
16,QB,991324622,,
68,OL,991307086,,
68,OL,991337287,,
94,DL,991337288,,
94,DL,991307087,,
32,DB,991307088,,
49,LS,991307089,,
49,LS,991337289,,
19,WR,991307090,,
84,TE,991307091,,
84,TE,991337290,,
8,TE,991337291,,
8,TE,991307092,,
0,LB,991337292,,
0,LB,991307093,,
39,DB,991307094,,
95,DL,991307095,,
50,LB,991324623,,
53,LB,991307096,,
64,OL,991307097,,
64,OL,991337293,,
74,OL,991307098,,
5,WR,991307099,,
5,WR,991337294,,
7,RB,991337295,,
7,RB,991307100,,
15,QB,991307101,,
9,QB,991307102,,
9,QB,991337296,,
25,RB,991337297,,
25,RB,991307103,,
96,DL,991307104,,
96,DL,991337298,,
20,DB,991307105,,
20,DB,991337299,,
30,RB,991307106,,
85,TE,991337300,,
85,TE,991307107,,
17,LB,991307108,,
17,LB,991337301,,
51,LB,991337302,,
51,LB,991307109,,
88,TE,991307110,,
44,LB,991316731,,
99,DL,991337303,,
46,K,991343496,,
45,DB,991307111,,
22,DB,991307112,,
22,DB,991337304,,
65,OL,991337305,,
65,OL,991307113,,
23,DB,991307114,,
23,DB,991337306,,
52,OL,991337307,,
